chromosome	start	end	exon	Sample2
21	165943	166617	CLDN17_1	0
21	215248	215925	CLDN8_1	0
21	282168	282932	KRTAP24-1_1	0
21	289182	289490	KRTAP25-1_1	0
21	319403	320035	KRTAP26-1_1	0
21	337045	337668	KRTAP27-1_1	0
21	348409	348606	KRTAP23-1_1	0
21	371686	372213	KRTAP13-2_1	0
21	396087	396605	KRTAP13-1_1	0
21	425394	425912	KRTAP13-3_1	0
21	430276	430758	KRTAP13-4_1	0
21	440328	440741	KRTAP15-1_1	0
21	480045	480317	KRTAP19-1_1	0
21	487190	487348	KRTAP19-2_1	0
21	491712	491957	KRTAP19-3_1	0
21	496856	497110	KRTAP19-4_1	0
21	501872	502090	KRTAP19-5_1	0
21	541657	541833	KRTAP19-6_1	0
21	561098	561289	KRTAP19-7_1	0
21	590237	590374	KRTAP22-2_1	0
21	592446	592778	KRTAP6-3_1	0
21	598686	598874	KRTAP6-2_1	0
21	601121	601267	KRTAP22-1_1	0
21	613689	613904	KRTAP6-1_1	0
21	616455	616625	KRTAP20-1_1	0
21	620658	620792	KRTAP20-4_1	0
21	635264	635461	KRTAP20-2_1	0
21	642889	643023	KRTAP20-3_1	0
21	718583	718759	KRTAP21-3_1	0
21	746951	747202	KRTAP21-2_1	0
21	755139	755378	KRTAP21-1_1	0
21	813029	813220	KRTAP8-1_1	0
21	829435	829698	KRTAP7-1_1	0
21	881033	881524	KRTAP11-1_1	0
21	1038252	1038443	KRTAP19-8_1	0
21	1120368	1120837	TIAM1_13-TIAM1_24-TIAM1_28-TIAM1_29	0
21	1124522	1124694	TIAM1_12-TIAM1_23-TIAM1_27-TIAM1_28	0
21	1127065	1127152	TIAM1_11-TIAM1_22-TIAM1_26-TIAM1_27	0
21	1130213	1130315	TIAM1_10-TIAM1_21-TIAM1_25-TIAM1_26	0
21	1130890	1130948	TIAM1_20-TIAM1_24-TIAM1_25-TIAM1_9	0
21	1135933	1136041	TIAM1_19-TIAM1_23-TIAM1_24-TIAM1_8	0
21	1141118	1141236	TIAM1_18-TIAM1_22-TIAM1_23-TIAM1_7	0
21	1141325	1141504	TIAM1_17-TIAM1_21-TIAM1_22-TIAM1_6	0
21	1146895	1147003	TIAM1_16-TIAM1_20-TIAM1_21-TIAM1_5	0
21	1152636	1152761	TIAM1_15-TIAM1_19-TIAM1_20-TIAM1_4	0
21	1153066	1153134	TIAM1_14-TIAM1_18-TIAM1_19-TIAM1_3	0
21	1154247	1154426	TIAM1_13-TIAM1_17-TIAM1_18-TIAM1_2	0
21	1160445	1160534	TIAM1_1	0
21	1164962	1165065	TIAM1_12-TIAM1_16-TIAM1_17	0
21	1182421	1182645	TIAM1_11-TIAM1_15-TIAM1_16	0
21	1187001	1187087	TIAM1_10-TIAM1_14-TIAM1_15	0
21	1195224	1195305	TIAM1_13-TIAM1_14-TIAM1_9	0
21	1202908	1203012	TIAM1_12-TIAM1_13	0
21	1210045	1210215	TIAM1_11-TIAM1_12-TIAM1_8	0
21	1213398	1213472	TIAM1_10-TIAM1_11	0
21	1217553	1217699	TIAM1_10-TIAM1_7-TIAM1_9	0
21	1223406	1223591	TIAM1_6-TIAM1_8-TIAM1_9	0
21	1225726	1225950	TIAM1_5-TIAM1_7-TIAM1_8	0
21	1245488	1245660	TIAM1_4-TIAM1_6-TIAM1_7	0
21	1251742	1252189	TIAM1_3-TIAM1_5-TIAM1_6	0
21	1266010	1266972	TIAM1_2-TIAM1_4-TIAM1_5	0
21	1659770	1659841	SOD1_1	0
21	1663790	1663886	SOD1_2	0
21	1666449	1666518	SOD1_3	0
21	1667258	1667375	SOD1_4	0
21	1668471	1668578	SOD1_5	0
21	1671399	1672354	SCAF4_19-SCAF4_20	0
21	1685049	1685240	SCAF4_18-SCAF4_19	0
