Chromosome,Start,Stop,MANE,Version
chr1,65418,71585,ENST00000641515,2
chr1,450739,451678,ENST00000426406,4
chr1,685715,686654,ENST00000332831,5
chr1,923922,944574,ENST00000616016,5
chr1,944202,959256,ENST00000327044,7
chr1,960583,965719,ENST00000338591,8
chr1,966481,975865,ENST00000379410,8
chr1,975197,982093,ENST00000433179,4
chr1,998963,1000097,ENST00000304952,11
chr1,1013496,1014540,ENST00000649529,1
chr1,1020119,1056116,ENST00000379370,7
chr1,1070966,1074306,ENST00000453464,3
chr1,1081822,1116089,ENST00000421241,7
chr1,1173879,1197936,ENST00000379289,6
chr1,1203507,1206592,ENST00000379268,7
chr1,1211339,1214153,ENST00000379236,4
chr1,1216930,1232001,ENST00000360001,12
chr1,1232236,1235041,ENST00000379198,5
chr1,1242452,1246722,ENST00000330388,2
chr1,1253911,1273854,ENST00000349431,11
chr1,1280435,1292025,ENST00000379116,10
chr1,1292390,1307930,ENST00000354700,10
chr1,1308596,1311677,ENST00000379031,10
chr1,1311599,1324660,ENST00000435064,6
chr1,1324801,1328896,ENST00000343938,9
chr1,1331279,1335314,ENST00000339381,6
chr1,1335277,1349418,ENST00000378888,10
chr1,1352690,1358555,ENST00000309212,11
chr1,1373735,1375207,ENST00000338338,10
chr1,1385710,1399335,ENST00000400809,8
chr1,1401908,1407293,ENST00000344843,12
chr1,1418419,1421276,ENST00000537107,6
chr1,1425870,1430255,ENST00000378821,4
chr1,1435689,1442882,ENST00000476993,2
chr1,1449688,1470163,ENST00000378785,7
chr1,1471764,1497848,ENST00000673477,1
chr1,1512161,1534685,ENST00000378756,8
chr1,1534777,1540624,ENST00000378733,9
chr1,1541672,1574863,ENST00000291386,4
chr1,1598011,1600135,ENST00000422725,4
chr1,1615499,1630605,ENST00000355826,10
chr1,1632172,1634654,ENST00000356026,10
chr1,1635224,1659004,ENST00000341832,11
chr1,1661477,1692795,ENST00000617444,5
chr1,1702378,1724357,ENST00000404249,8
chr1,1751231,1778470,ENST00000341426,9
chr1,1785285,1891087,ENST00000378609,9
chr1,1915259,1917296,ENST00000307786,8
chr1,1917590,1919279,ENST00000310991,8
chr1,1921956,2003786,ENST00000682832,2
chr1,2019344,2030758,ENST00000378585,7
chr1,2050410,2185395,ENST00000378567,8
chr1,2189547,2194772,ENST00000378546,9
chr1,2228318,2310213,ENST00000378536,5
chr1,2321252,2391554,ENST00000378531,8
chr1,2391840,2405436,ENST00000605895,6
chr1,2403973,2412564,ENST00000447513,7
chr1,2476288,2505532,ENST00000378486,8
