chromosome	start	end	exon	Sample2
chr21	165943	166617	CLDN17_1	0
chr21	215248	215925	CLDN8_1	0
chr21	282168	282932	KRTAP24-1_1	0
chr21	289182	289490	KRTAP25-1_1	0
chr21	319403	320035	KRTAP26-1_1	0
chr21	337045	337668	KRTAP27-1_1	0
chr21	348409	348606	KRTAP23-1_1	0
chr21	371686	372213	KRTAP13-2_1	0
chr21	396087	396605	KRTAP13-1_1	0
chr21	425394	425912	KRTAP13-3_1	0
chr21	430276	430758	KRTAP13-4_1	0
chr21	440328	440741	KRTAP15-1_1	0
chr21	480045	480317	KRTAP19-1_1	0
chr21	487190	487348	KRTAP19-2_1	0
chr21	491712	491957	KRTAP19-3_1	0
chr21	496856	497110	KRTAP19-4_1	0
chr21	501872	502090	KRTAP19-5_1	0
chr21	541657	541833	KRTAP19-6_1	0
chr21	561098	561289	KRTAP19-7_1	0
chr21	590237	590374	KRTAP22-2_1	0
chr21	592446	592778	KRTAP6-3_1	0
chr21	598686	598874	KRTAP6-2_1	0
chr21	601121	601267	KRTAP22-1_1	0
chr21	613689	613904	KRTAP6-1_1	0
chr21	616455	616625	KRTAP20-1_1	0
chr21	620658	620792	KRTAP20-4_1	0
chr21	635264	635461	KRTAP20-2_1	0
chr21	642889	643023	KRTAP20-3_1	0
chr21	718583	718759	KRTAP21-3_1	0
chr21	746951	747202	KRTAP21-2_1	0
chr21	755139	755378	KRTAP21-1_1	0
chr21	813029	813220	KRTAP8-1_1	0
chr21	829435	829698	KRTAP7-1_1	0
chr21	881033	881524	KRTAP11-1_1	0
chr21	1038252	1038443	KRTAP19-8_1	0
chr21	1120368	1120837	TIAM1_13-TIAM1_24-TIAM1_28-TIAM1_29	0
chr21	1124522	1124694	TIAM1_12-TIAM1_23-TIAM1_27-TIAM1_28	0
chr21	1127065	1127152	TIAM1_11-TIAM1_22-TIAM1_26-TIAM1_27	0
chr21	1130213	1130315	TIAM1_10-TIAM1_21-TIAM1_25-TIAM1_26	0
chr21	1130890	1130948	TIAM1_20-TIAM1_24-TIAM1_25-TIAM1_9	0
chr21	1135933	1136041	TIAM1_19-TIAM1_23-TIAM1_24-TIAM1_8	0
chr21	1141118	1141236	TIAM1_18-TIAM1_22-TIAM1_23-TIAM1_7	0
chr21	1141325	1141504	TIAM1_17-TIAM1_21-TIAM1_22-TIAM1_6	0
chr21	1146895	1147003	TIAM1_16-TIAM1_20-TIAM1_21-TIAM1_5	0
chr21	1152636	1152761	TIAM1_15-TIAM1_19-TIAM1_20-TIAM1_4	0
chr21	1153066	1153134	TIAM1_14-TIAM1_18-TIAM1_19-TIAM1_3	0
chr21	1154247	1154426	TIAM1_13-TIAM1_17-TIAM1_18-TIAM1_2	0
chr21	1160445	1160534	TIAM1_1	0
chr21	1164962	1165065	TIAM1_12-TIAM1_16-TIAM1_17	0
chr21	1182421	1182645	TIAM1_11-TIAM1_15-TIAM1_16	0
chr21	1187001	1187087	TIAM1_10-TIAM1_14-TIAM1_15	0
chr21	1195224	1195305	TIAM1_13-TIAM1_14-TIAM1_9	0
chr21	1202908	1203012	TIAM1_12-TIAM1_13	0
chr21	1210045	1210215	TIAM1_11-TIAM1_12-TIAM1_8	0
chr21	1213398	1213472	TIAM1_10-TIAM1_11	0
chr21	1217553	1217699	TIAM1_10-TIAM1_7-TIAM1_9	0
chr21	1223406	1223591	TIAM1_6-TIAM1_8-TIAM1_9	0
chr21	1225726	1225950	TIAM1_5-TIAM1_7-TIAM1_8	0
chr21	1245488	1245660	TIAM1_4-TIAM1_6-TIAM1_7	0
chr21	1251742	1252189	TIAM1_3-TIAM1_5-TIAM1_6	0
chr21	1266010	1266972	TIAM1_2-TIAM1_4-TIAM1_5	0
chr21	1659770	1659841	SOD1_1	0
chr21	1663790	1663886	SOD1_2	0
chr21	1666449	1666518	SOD1_3	0
chr21	1667258	1667375	SOD1_4	0
chr21	1668471	1668578	SOD1_5	0
chr21	1671399	1672354	SCAF4_19-SCAF4_20	0
chr21	1685049	1685240	SCAF4_18-SCAF4_19	0
chr21	1685398	1685484	SCAF4_17-SCAF4_18	0
chr21	1685568	1685733	SCAF4_16-SCAF4_17	0
chr21	1688307	1688464	SCAF4_15-SCAF4_16	0
chr21	1690797	1690953	SCAF4_14-SCAF4_15	0
chr21	1691817	1691930	SCAF4_13-SCAF4_14	0
chr21	1692349	1692449	SCAF4_12-SCAF4_13	0
chr21	1693294	1693484	SCAF4_11-SCAF4_12	0
chr21	1694204	1694289	SCAF4_10-SCAF4_11	0
chr21	1694813	1694980	SCAF4_10-SCAF4_9	0
chr21	1696113	1696221	SCAF4_8-SCAF4_9	0
chr21	1696569	1696750	SCAF4_7-SCAF4_8	0
chr21	1700995	1701171	SCAF4_6-SCAF4_7	0
chr21	1701776	1701918	SCAF4_5-SCAF4_6	0
chr21	1702244	1702379	SCAF4_4-SCAF4_5	0
chr21	1703765	1703926	SCAF4_3-SCAF4_4	0
chr21	1705423	1705467	SCAF4_3	0
chr21	1706274	1706357	SCAF4_2	0
chr21	1731663	1731692	SCAF4_1	0
chr21	1873675	1873935	HUNK_1	0
chr21	1924468	1924760	HUNK_2	0
chr21	1940165	1940220	HUNK_3	0
chr21	1946036	1946171	HUNK_4	0
chr21	1958843	1958970	HUNK_5	0
chr21	1968250	1968385	HUNK_6	0
chr21	1974555	1974717	HUNK_7	0
chr21	1983526	1983609	HUNK_8	0
chr21	1990129	1990176	HUNK_9	0
chr21	1995768	1995948	HUNK_10	0
chr21	1998526	1999184	HUNK_11	0
chr21	2269037	2269117	MIS18A_5	0
chr21	2269707	2269803	MIS18A_4	0
chr21	2270407	2270529	MIS18A_3	0
chr21	2274830	2274896	MIS18A_2	0
chr21	2278681	2279014	MIS18A_1	0
chr21	2298972	2299077	MRAP_1-MRAP_3	0
chr21	2306640	2306739	MRAP_2-MRAP_4	0
chr21	2311684	2311996	MRAP_3-MRAP_5	0
chr21	2314551	2314653	MRAP_3	0
chr21	2314918	2315099	URB1_39	0
chr21	2316466	2317065	URB1_38	0
chr21	2317676	2317917	URB1_37	0
chr21	2319217	2319414	URB1_36	0
chr21	2320531	2320640	URB1_35	0
chr21	2321801	2321944	URB1_34	0
chr21	2322478	2322584	URB1_33	0
chr21	2324491	2324602	URB1_32	0
chr21	2325229	2325389	URB1_31	0
chr21	2333317	2333419	URB1_30	0
chr21	2334163	2334334	URB1_29	0
chr21	2337094	2337157	URB1_28	0
chr21	2337404	2337514	URB1_27	0
chr21	2338707	2338900	URB1_26	0
chr21	2341466	2341524	URB1_25	0
chr21	2344570	2344756	URB1_24	0
chr21	2345374	2345575	URB1_23	0
chr21	2346956	2347811	URB1_22	0
chr21	2349304	2349483	URB1_21	0
chr21	2350704	2350922	URB1_20	0
chr21	2352710	2352906	URB1_19	0
chr21	2353933	2354103	URB1_18	0
chr21	2354859	2354997	URB1_17	0
chr21	2355449	2355565	URB1_16	0
chr21	2357537	2357656	URB1_15	0
chr21	2359796	2359908	URB1_14	0
chr21	2361007	2361123	URB1_13	0
chr21	2361892	2362021	URB1_12	0
chr21	2363156	2363329	URB1_11	0
chr21	2366618	2366755	URB1_10	0
chr21	2368403	2368598	URB1_9	0
chr21	2372507	2372631	URB1_8	0
chr21	2373647	2373772	URB1_7	0
chr21	2375398	2375483	URB1_6	0
chr21	2378445	2378541	URB1_5	0
chr21	2383422	2383554	URB1_4	0
chr21	2384313	2384464	URB1_3	0
chr21	2385545	2385684	URB1_2	0
chr21	2392769	2392910	URB1_1	0
chr21	2412854	2413013	EVA1C_1	0
chr21	2453312	2453508	EVA1C_2	0
chr21	2457597	2457720	EVA1C_3	0
chr21	2467696	2467848	EVA1C_4	0
chr21	2495027	2495170	EVA1C_5	0
chr21	2501415	2501495	EVA1C_5-EVA1C_6	0
chr21	2503926	2504015	EVA1C_6-EVA1C_7	0
chr21	2514814	2515190	EVA1C_7-EVA1C_8	0
chr21	2567978	2568079	CFAP298-TCP10L_8	0
chr21	2576774	2576923	CFAP298-TCP10L_7-CFAP298-TCP10L_8-TCP10L_4-TCP10L_5-TCP10L_6	0
chr21	2578667	2578831	CFAP298-TCP10L_6-CFAP298-TCP10L_7-TCP10L_3-TCP10L_4-TCP10L_5	0
chr21	2582200	2582415	CFAP298-TCP10L_6-TCP10L_2-TCP10L_3-TCP10L_4	0
chr21	2584161	2584304	TCP10L_2-TCP10L_3	0
chr21	2601863	2601973	CFAP298_6-CFAP298_7	0
chr21	2602272	2602367	CFAP298_6	0
chr21	2603089	2603292	CFAP298-TCP10L_5-CFAP298_5	0
chr21	2604125	2604283	CFAP298-TCP10L_4-CFAP298_4	0
chr21	2607649	2607716	CFAP298-TCP10L_3-CFAP298_3	0
chr21	2609838	2610005	CFAP298-TCP10L_2-CFAP298_2	0
chr21	2612105	2612243	CFAP298-TCP10L_1-CFAP298_1	0
chr21	2630995	2631801	SYNJ1_28-SYNJ1_32	0
chr21	2634864	2634884	SYNJ1_28-SYNJ1_31-SYNJ1_32	0
chr21	2638908	2639125	SYNJ1_27-SYNJ1_30-SYNJ1_31	0
chr21	2639671	2639779	SYNJ1_26-SYNJ1_29-SYNJ1_30	0
chr21	2641896	2641966	SYNJ1_25-SYNJ1_28-SYNJ1_29	0
chr21	2642095	2642133	SYNJ1_27-SYNJ1_28	0
chr21	2643410	2643457	SYNJ1_27	0
chr21	2644968	2645006	SYNJ1_26	0
chr21	2645646	2645789	SYNJ1_24-SYNJ1_25	0
chr21	2646393	2646602	SYNJ1_23-SYNJ1_24	0
chr21	2650184	2650346	SYNJ1_22-SYNJ1_23	0
chr21	2653288	2653366	SYNJ1_21-SYNJ1_22	0
chr21	2656687	2656902	SYNJ1_20-SYNJ1_21	0
chr21	2657003	2657120	SYNJ1_19-SYNJ1_20	0
chr21	2657716	2657872	SYNJ1_18-SYNJ1_19	0
chr21	2664913	2665071	SYNJ1_17-SYNJ1_18	0
chr21	2665943	2666135	SYNJ1_16-SYNJ1_17	0
chr21	2666433	2666573	SYNJ1_15-SYNJ1_16	0
chr21	2670288	2670372	SYNJ1_14-SYNJ1_15	0
chr21	2673340	2673531	SYNJ1_13-SYNJ1_14	0
chr21	2676332	2676355	SYNJ1_13	0
chr21	2678645	2678810	SYNJ1_12	0
chr21	2681496	2681648	SYNJ1_11	0
chr21	2684038	2684119	SYNJ1_10	0
chr21	2685748	2685917	SYNJ1_9	0
chr21	2686978	2687074	SYNJ1_8	0
chr21	2688306	2688367	SYNJ1_7	0
chr21	2694228	2694311	SYNJ1_6	0
chr21	2695057	2695282	SYNJ1_5	0
chr21	2699838	2700105	SYNJ1_4	0
chr21	2701961	2702047	SYNJ1_3	0
chr21	2726772	2726917	SYNJ1_2	0
chr21	2727946	2728040	SYNJ1_1	0
chr21	2734950	2735067	PAXBP1_18	0
chr21	2737254	2737408	PAXBP1_17	0
chr21	2738173	2738319	PAXBP1_16	0
chr21	2741509	2741622	PAXBP1_16	0
chr21	2743248	2743314	PAXBP1_15	0
chr21	2743678	2743754	PAXBP1_14	0
chr21	2744792	2744913	PAXBP1_13	0
chr21	2745574	2745718	PAXBP1_12	0
chr21	2748499	2748698	PAXBP1_11	0
chr21	2750917	2751032	PAXBP1_10	0
chr21	2751119	2751218	PAXBP1_9	0
chr21	2755230	2755353	PAXBP1_8	0
chr21	2759080	2759269	PAXBP1_7	0
chr21	2759777	2759994	PAXBP1_6	0
chr21	2761059	2761162	PAXBP1_5	0
chr21	2762096	2762317	PAXBP1_4	0
chr21	2764348	2764524	PAXBP1_3	0
chr21	2769814	2769942	PAXBP1_2	0
chr21	2771326	2771668	PAXBP1_1	0
chr21	2793762	2794421	C21orf62_2-C21orf62_3-C21orf62_4	0
chr21	3026863	3027834	OLIG2_1-OLIG2_2	0
chr21	3070247	3071062	OLIG1_1	0
chr21	3241923	3241977	ENSG00000249624_2-IFNAR2_2	0
chr21	3243673	3243714	ENSG00000249624_3-IFNAR2_3	0
chr21	3244951	3245074	ENSG00000249624_4-IFNAR2_2-IFNAR2_4	0
chr21	3246718	3246890	ENSG00000249624_5-IFNAR2_3-IFNAR2_5	0
chr21	3248709	3248854	ENSG00000249624_6-IFNAR2_4-IFNAR2_6	0
chr21	3252662	3252830	ENSG00000249624_7-IFNAR2_5-IFNAR2_7	0
chr21	3260597	3260727	ENSG00000249624_8-IFNAR2_8	0
chr21	3262561	3262716	IFNAR2_9	0
chr21	3262793	3263500	ENSG00000249624_9-IFNAR2_6-IFNAR2_8-IFNAR2_9	0
chr21	3266466	3266514	IL10RB_1	0
chr21	3268394	3268517	IL10RB_2	0
chr21	3276596	3276753	IL10RB_3	0
chr21	3279752	3279918	IL10RB_4	0
chr21	3283094	3283241	IL10RB_5	0
chr21	3288104	3288261	IL10RB_6	0
chr21	3296184	3296357	IL10RB_7	0
chr21	3325056	3325131	IFNAR1_1	0
chr21	3335524	3335647	IFNAR1_2	0
chr21	3340999	3341174	IFNAR1_3	0
chr21	3343268	3343422	IFNAR1_4	0
chr21	3343535	3343676	IFNAR1_5	0
chr21	3345246	3345360	IFNAR1_6	0
chr21	3348550	3348587	IFNAR1_6-IFNAR1_7	0
chr21	3349091	3349290	IFNAR1_7	0
chr21	3349389	3349543	IFNAR1_8	0
chr21	3352758	3352908	IFNAR1_9	0
chr21	3353638	3353783	IFNAR1_10	0
chr21	3355316	3355549	IFNAR1_11	0
chr21	3403544	3403616	IFNGR2_1	0
chr21	3410836	3410892	IFNGR2_2	0
chr21	3414888	3415020	IFNGR2_2-IFNGR2_3	0
chr21	3421480	3421685	IFNGR2_3-IFNGR2_4	0
chr21	3426884	3427032	IFNGR2_4-IFNGR2_5	0
chr21	3432177	3432336	IFNGR2_5-IFNGR2_6	0
chr21	3432714	3432871	IFNGR2_6-IFNGR2_7	0
chr21	3436828	3436962	IFNGR2_7-IFNGR2_8	0
chr21	3450818	3450863	TMEM50B_7	0
chr21	3455727	3455784	TMEM50B_6	0
chr21	3460413	3460505	TMEM50B_5	0
chr21	3465342	3465409	TMEM50B_4	0
chr21	3467010	3467122	TMEM50B_3	0
chr21	3468787	3468885	TMEM50B_2	0
chr21	3488227	3489393	DNAJC28_2	0
chr21	3504124	3504315	GART_22	0
chr21	3504412	3504527	GART_21	0
chr21	3505561	3505702	GART_20	0
chr21	3505974	3506104	GART_19	0
chr21	3509783	3509920	GART_18	0
chr21	3511252	3511458	GART_17	0
chr21	3516989	3517141	GART_16	0
chr21	3517357	3517608	GART_15	0
chr21	3520364	3520562	GART_14	0
chr21	3520906	3521015	GART_13	0
chr21	3522188	3522282	GART_12	0
chr21	3524765	3525000	GART_11	0
chr21	3528167	3528335	GART_10	0
chr21	3528519	3528604	GART_9	0
chr21	3528850	3528937	GART_8	0
chr21	3530759	3530884	GART_7	0
chr21	3531489	3531557	GART_6	0
chr21	3532345	3532456	GART_5	0
chr21	3534579	3534753	GART_4	0
chr21	3535225	3535320	GART_3	0
chr21	3539171	3539315	GART_2	0
chr21	3543093	3543169	SON_1	0
chr21	3546213	3546379	SON_2	0
chr21	3549476	3555391	SON_3	0
chr21	3557156	3557316	SON_3-SON_4	0
chr21	3557546	3557551	SON_5	0
chr21	3559230	3559376	SON_4-SON_5	0
chr21	3559587	3559775	SON_5-SON_6	0
chr21	3559877	3560131	SON_7	0
chr21	3567157	3567267	SON_6-SON_7	0
chr21	3568971	3569087	SON_7-SON_8	0
chr21	3573308	3573455	SON_8-SON_9	0
chr21	3575596	3575667	SON_10-SON_9	0
chr21	3575778	3575893	SON_10-SON_11	0
chr21	3576365	3576424	SON_11-SON_12	0
chr21	3578307	3578444	DONSON_10-DONSON_9	0
chr21	3579350	3579562	DONSON_9	0
chr21	3581302	3581500	DONSON_8	0
chr21	3581951	3582055	DONSON_7	0
chr21	3582165	3582246	DONSON_6	0
chr21	3583488	3583666	DONSON_5	0
chr21	3584590	3584768	DONSON_4-ENSG00000249209_8	0
chr21	3585978	3586181	DONSON_3-ENSG00000249209_7	0
chr21	3587522	3587602	DONSON_2	0
chr21	3588321	3588641	DONSON_1	0
chr21	3589791	3589921	CRYZL1_12-CRYZL1_13-CRYZL1_7	0
chr21	3591162	3591211	CRYZL1_11-CRYZL1_12	0
chr21	3595613	3595614	CRYZL1_13	0
chr21	3595731	3595836	CRYZL1_10-CRYZL1_11-CRYZL1_12	0
chr21	3597280	3597401	CRYZL1_10-CRYZL1_11-CRYZL1_9	0
chr21	3599150	3599248	CRYZL1_10-CRYZL1_8-CRYZL1_9	0
chr21	3602234	3602345	CRYZL1_6-CRYZL1_7-CRYZL1_8-CRYZL1_9	0
chr21	3603404	3603537	CRYZL1_5-CRYZL1_6-CRYZL1_7-CRYZL1_8	0
chr21	3613538	3613606	CRYZL1_5-CRYZL1_6-CRYZL1_7	0
chr21	3616524	3616603	CRYZL1_6	0
chr21	3616706	3616750	CRYZL1_5-CRYZL1_6	0
chr21	3621996	3622068	CRYZL1_4-CRYZL1_5	0
chr21	3624683	3624760	CRYZL1_3-CRYZL1_4	0
chr21	3631486	3631557	CRYZL1_2-CRYZL1_3	0
chr21	3640180	3640188	CRYZL1_3	0
chr21	3641179	3641244	CRYZL1_2	0
chr21	3718829	3718856	ITSN1_1-ITSN1_2	0
chr21	3721178	3721270	ITSN1_2-ITSN1_3	0
chr21	3722588	3722651	ITSN1_3-ITSN1_4	0
chr21	3735044	3735204	ITSN1_4-ITSN1_5	0
chr21	3750143	3750322	ITSN1_1-ITSN1_5-ITSN1_6	0
chr21	3751810	3751906	ITSN1_2-ITSN1_6-ITSN1_7	0
chr21	3755297	3755397	ITSN1_3-ITSN1_7-ITSN1_8	0
chr21	3761923	3761986	ITSN1_4-ITSN1_8-ITSN1_9	0
chr21	3765875	3766012	ITSN1_10-ITSN1_5-ITSN1_9	0
chr21	3767713	3767828	ITSN1_10-ITSN1_11-ITSN1_6	0
chr21	3772039	3772058	ITSN1_7	0
chr21	3772061	3772323	ITSN1_11-ITSN1_12	0
chr21	3774729	3774878	ITSN1_12-ITSN1_13	0
chr21	3774968	3775108	ITSN1_13-ITSN1_14	0
chr21	3781461	3781548	ITSN1_14-ITSN1_15	0
chr21	3781994	3782133	ITSN1_15-ITSN1_16	0
chr21	3794341	3794468	ITSN1_16-ITSN1_17	0
chr21	3797379	3797608	ITSN1_17-ITSN1_18	0
chr21	3799808	3799929	ITSN1_18-ITSN1_19	0
chr21	3802430	3802444	ITSN1_20	0
chr21	3810975	3811222	ITSN1_19-ITSN1_20-ITSN1_21	0
chr21	3813913	3814072	ITSN1_20-ITSN1_21-ITSN1_22	0
chr21	3817231	3817581	ITSN1_21	0
chr21	3818267	3818472	ITSN1_22-ITSN1_23	0
chr21	3819241	3819323	ITSN1_22-ITSN1_23-ITSN1_24	0
chr21	3823487	3823653	ITSN1_24-ITSN1_25	0
chr21	3826818	3826863	ITSN1_25-ITSN1_26	0
chr21	3829624	3829745	ITSN1_24-ITSN1_25-ITSN1_26-ITSN1_27	0
chr21	3834307	3834424	ITSN1_25-ITSN1_26-ITSN1_27-ITSN1_28	0
chr21	3836441	3836632	ITSN1_26-ITSN1_27-ITSN1_28-ITSN1_29	0
chr21	3836987	3836988	ITSN1_27-ITSN1_28-ITSN1_29-ITSN1_30	0
chr21	3856736	3856857	ITSN1_29-ITSN1_30	0
chr21	3858686	3858792	ITSN1_30-ITSN1_31	0
chr21	3865151	3865334	ITSN1_31-ITSN1_32	0
chr21	3867233	3867331	ITSN1_32-ITSN1_33	0
chr21	3875354	3875521	ITSN1_33-ITSN1_34	0
chr21	3882243	3882455	ITSN1_34-ITSN1_35	0
chr21	3883550	3883671	ITSN1_35-ITSN1_36	0
chr21	3885041	3885123	ITSN1_36-ITSN1_37	0
chr21	3885439	3885522	ITSN1_37-ITSN1_38	0
chr21	3886287	3886460	ITSN1_38-ITSN1_39	0
chr21	3888152	3888300	ITSN1_39-ITSN1_40	0
chr21	3903526	3903639	ATP5PO_7	0
chr21	3903935	3904021	ATP5PO_6	0
chr21	3907341	3907453	ATP5PO_5-ENSG00000249209_6	0
chr21	3909082	3909211	ATP5PO_4-ENSG00000249209_5	0
chr21	3912289	3912399	ATP5PO_3-ENSG00000249209_4	0
chr21	3914450	3914500	ATP5PO_2-ENSG00000249209_3	0
chr21	3915728	3915763	ATP5PO_1-ENSG00000249209_2	0
chr21	4073701	4073745	MRPS6_1	0
chr21	4095199	4097355	SLC5A3_2	0
chr21	4125341	4125480	MRPS6_2	0
chr21	4142408	4142600	MRPS6_3	0
chr21	4370479	4370850	KCNE2_2	0
chr21	4379505	4379516	SMIM11A_2	0
chr21	4385478	4385642	SMIM11A_3	0
chr21	4399711	4399899	SMIM11A_3	0
chr21	4400317	4401072	FAM243A_1	0
chr21	4402091	4402096	SMIM11A_4	0
chr21	4419218	4419630	SMIM34A_2	0
chr21	4423833	4423839	SMIM34A_1	0
chr21	4449245	4449634	KCNE1_2-KCNE1_3-KCNE1_4	0
chr21	4512196	4512218	ENSG00000288711_4	0
